time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.064588,1.6376,-1.9427,2.8578,3.824
2.069577,1.6365,-1.8840,3.1890,4.049
2.075763,1.6493,-1.8087,3.4950,4.267
2.078820,1.6688,-1.7318,3.7422,4.448
2.083679,1.6688,-1.6348,3.8994,4.546
2.089360,1.6344,-1.5133,3.9672,4.550
2.092977,1.5937,-1.3987,3.9749,4.505
2.097893,1.5576,-1.3008,3.9400,4.432
2.101967,1.5060,-1.2029,3.8537,4.309
2.106932,1.4715,-1.1145,3.6955,4.131
2.112538,1.4725,-1.0619,3.4610,3.908
2.116458,1.4776,-1.0328,3.1818,3.657
2.121450,1.4602,-1.0055,2.8772,3.380
2.126067,1.4225,-0.9871,2.5594,3.090
2.131148,1.3476,-0.9436,2.2406,2.780
2.134934,1.2594,-0.8893,1.9351,2.474
2.139533,1.1629,-0.8360,1.6357,2.174
2.143907,1.0702,-0.7645,1.3494,1.884
2.149333,0.9865,-0.6672,1.0543,1.591
2.153438,0.8978,-0.5728,0.7551,1.305
2.159035,0.8069,-0.4931,0.4968,1.068
2.166242,0.7429,-0.4256,0.2934,0.905
2.170013,0.7154,-0.3655,0.1090,0.811
2.174926,0.6986,-0.3103,-0.0640,0.767
2.177358,0.6543,-0.2935,-0.1972,0.744
2.181532,0.5902,-0.2861,-0.3003,0.721
2.187102,0.5279,-0.2859,-0.3998,0.721
2.190736,0.4628,-0.3096,-0.4838,0.738
2.196406,0.4088,-0.3334,-0.5449,0.758
2.200340,0.3727,-0.3669,-0.6212,0.812
2.205227,0.3255,-0.4053,-0.7170,0.886
2.209448,0.2667,-0.4726,-0.8105,0.975
2.214314,0.2053,-0.5500,-0.9109,1.084
2.219789,0.1266,-0.6013,-1.0131,1.185
2.223773,0.0371,-0.6577,-1.0998,1.282
2.228600,-0.0562,-0.7095,-1.1876,1.384
2.233165,-0.1488,-0.7542,-1.2715,1.486
2.237854,-0.2189,-0.7773,-1.3351,1.560
2.242877,-0.2760,-0.7813,-1.3951,1.623
2.247436,-0.3225,-0.7710,-1.4780,1.698
2.252521,-0.3583,-0.7653,-1.5740,1.786
2.256879,-0.3979,-0.7737,-1.6688,1.882
2.262027,-0.4267,-0.7529,-1.7387,1.942
2.266426,-0.4610,-0.7220,-1.7624,1.960
2.271207,-0.5196,-0.6787,-1.7236,1.924
2.275388,-0.5973,-0.6112,-1.6465,1.855
2.280617,-0.6794,-0.5509,-1.5840,1.809
2.284251,-0.7563,-0.4934,-1.5315,1.778
2.289031,-0.8277,-0.4649,-1.4866,1.764
2.295131,-0.9078,-0.4754,-1.4783,1.799
